Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Mineral Metabolism Measure Score,Mineral Metabolism Reason for No Score (See Footnotes File),State Average Mineral Metabolism Measure Score,National Average Mineral Metabolism Measure Score
DAVITA-SAN JUAN CAPISTRANO SOUTH DIALYSIS,052648,-,"31736 RANCHO VIEJO ROAD, SUITE B",SAN JUAN CAPISTRANO,CA,92675,18,MINERAL METABOLISM,9,-,9,9
US RENAL CARE BERKELEY,052651,-,2895 7TH STREET,BERKELEY,CA,94710,17,MINERAL METABOLISM,10,-,9,9
DAVITA-PARAMOUNT DIALYSIS CENTER,052652,-,15625 LAKEWOOD BLVD.,PARAMOUNT,CA,90723,18,MINERAL METABOLISM,10,-,9,9
FMC-CHULA VISTA DIALYSIS CENTER-SOUTH,052653,-,"2252 VERUS STREET, SUITE D",SAN DIEGO,CA,92154,18,MINERAL METABOLISM,10,-,9,9
FMC-GAREY DIALYSIS CENTER PARTNERSHIP,052654,-,150 E. ARROW HIGHWAY,POMONA,CA,91767,18,MINERAL METABOLISM,10,-,9,9
FMC-VENTURA,052656,-,"4567 TELEPHONE ROAD, SUITE 101",VENTURA,CA,93003,18,MINERAL METABOLISM,9,-,9,9
FMC-RAI-CORPORATE WAY-PALM DESERT,052657,-,41-501 CORPORATE WAY,PALM DESERT,CA,92260,18,MINERAL METABOLISM,9,-,9,9
KIDNEY INSTITUTE OF THE DESERT,052658,-,"81715 DOCTOR CARREON BLVD., SUITE B-2",INDIO,CA,92201,18,MINERAL METABOLISM,10,-,9,9
DAVITA-CORONA DIALYSIS CENTER,052661,-,"2057 COMPTON AVENUE, #101",CORONA,CA,92881,18,MINERAL METABOLISM,9,-,9,9
ANTELOPE DIALYSIS CENTER,052663,-,6406 TUPELO DRIVE STE-A,CITRUS HEIGHTS,CA,95621,17,MINERAL METABOLISM,10,-,9,9
DAVITA-SANTA MONICA DIALYSIS,052665,-,"1260 15TH STREET, SUITE 102",SANTA MONICA,CA,90404,18,MINERAL METABOLISM,10,-,9,9
DAVITA-TULARE DIALYSIS,052666,-,545 E. TULARE AVENUE,TULARE,CA,93274,18,MINERAL METABOLISM,10,-,9,9
FMC-CAMARILLO DIALYSIS CENTER,052668,-,"3801 LAS POSAS ROAD, SUITE 103",CAMARILLO,CA,93010,18,MINERAL METABOLISM,10,-,9,9
DAVITA-IMPERIAL DIALYSIS,052670,-,2738 W. IMPERIAL HIGHWAY,INGLEWOOD,CA,90303,18,MINERAL METABOLISM,9,-,9,9
DAVITA-UNITED DIALYSIS CENTER,052671,-,3111 LONG BEACH BLVD.,LONG BEACH,CA,90807,18,MINERAL METABOLISM,10,-,9,9
DAVITA-BAKERSFIELD DIALYSIS CENTER,052673,-,5143 OFFICE PARK DRIVE,BAKERSFIELD,CA,93309,18,MINERAL METABOLISM,10,-,9,9
DAVITA-DELANO DIALYSIS,052674,-,405 DOVER PARKWAY,DELANO,CA,93215,18,MINERAL METABOLISM,10,-,9,9
EAST BAY PERITONEAL DIALYSIS,052675,-,13939 E 14TH STREET STE 110,SAN LEANDRO,CA,94578,17,MINERAL METABOLISM,2,-,9,9
DCI UNIVERSITY DIALYSIS CLINIC,052676,-,1771 STOCKTON BLVD,SACRAMENTO,CA,95816,17,MINERAL METABOLISM,10,-,9,9
SAN JOAQUIN VALLEY DIALYSIS,052677,-,3636 NORTH FIRST #144,FRESNO,CA,93726,17,MINERAL METABOLISM,8,-,9,9
FMC-GATEWAY DIALYSIS CENTER-EAST,052678,-,"720 GATEWAY CENTER DRIVE, SUITE B",SAN DIEGO,CA,92102,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE REDONDO BEACH DIALYSIS,052679,-,514 N. PROSPECT AVENUE,REDONDO BEACH,CA,90277,18,MINERAL METABOLISM,9,-,9,9
DAVITA-FONTANA DIALYSIS,052682,-,17590 FOOTHILL BLVD.,FONTANA,CA,92335,18,MINERAL METABOLISM,10,-,9,9
FMC-RAI-EAST OLYMPIC-LOS ANGELES,052683,-,5714 EAST OLYMPIC BLVD.,LOS ANGELES,CA,90022,18,MINERAL METABOLISM,10,-,9,9
PERITONEAL DIALYSIS CENTER OF AMERICA-SAN GABRIEL PC,052684,-,"809 S. ATLANTIC BLVD., SUITE 103",MONTEREY PARK,CA,91754,18,MINERAL METABOLISM,5,-,9,9
HAYWARD DIALYSIS CENTER,052685,-,21615 HESPERIAN BOULEVARD SUITE F,HAYWARD,CA,94541,17,MINERAL METABOLISM,10,-,9,9
FMC-LA MESA DIALYSIS CENTER,052686,-,5995 SEVERIN DRIVE,LA MESA,CA,91942,18,MINERAL METABOLISM,10,-,9,9
FMC-CARSON,052687,-,"20710 S. LEAPWOOD AVENUE, SUITE F",CARSON,CA,90746,18,MINERAL METABOLISM,No Score,1,9,9
WALNUT CREEK DIALYSIS,052689,-,404 NORTH WIGET LANE,WALNUT CREEK,CA,94598,17,MINERAL METABOLISM,10,-,9,9
FMC-EL CENTRO DESERT VALLEY DIALYSIS CENTER,052690,-,110 S. FIFTH STREET,EL CENTRO,CA,92243,18,MINERAL METABOLISM,10,-,9,9
CAMERON PARK DIALYSIS,052691,-,3311 COACH LN STE C,CAMERON PARK,CA,95682,17,MINERAL METABOLISM,10,-,9,9
FMC LOS GATOS,052694,-,14651 SOUTH BASCOM SUITE 100,LOS GATOS,CA,95032,17,MINERAL METABOLISM,10,-,9,9
DAVITA-LOS ANGELES DIALYSIS CENTER,052695,-,3901 S. WESTERN AVENUE,LOS ANGELES,CA,90062,18,MINERAL METABOLISM,10,-,9,9
DAVITA-VISALIA DIALYSIS,052696,-,"5429 W. CYPRESS AVENUE, SUITE A",VISALIA,CA,93277,18,MINERAL METABOLISM,9,-,9,9
HIGH DESERT HEMODIALYSIS,052699,-,"1007 W. AVENUE M-14, SUITE B",PALMDALE,CA,93551,18,MINERAL METABOLISM,6,-,9,9
DAVITA-MONTEREY PARK DIALYSIS CENTER,052700,-,"2560 CORPORATE PLACE, BUILDING D, SUITE 100-101",MONTEREY PARK,CA,91754,18,MINERAL METABOLISM,10,-,9,9
FMC - QUAD CITIES,142703,-,2623 17TH STREET,ROCK ISLAND,IL,61201,10,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE EARL STREET DIALYSIS,052701,-,"20911 EARL STREET, SUITE 160",TORRANCE,CA,90503,18,MINERAL METABOLISM,10,-,9,9
RAI WEST MARCH,052703,-,3115 WEST MARCH LANE SUITE A,STOCKTON,CA,95219,17,MINERAL METABOLISM,10,-,9,9
RAI NORTH CALIFORNIA,052705,-,2350 N CALIFORNIA STREET,STOCKTON,CA,95204,17,MINERAL METABOLISM,10,-,9,9
ATWATER DIALYSIS CENTER,052706,-,1201 COMMERCE AVE,ATWATER,CA,95301,17,MINERAL METABOLISM,9,-,9,9
ALHAMBRA DIALYSIS CENTER,052707,-,1315 ALHAMBRA BLVD #100,SACRAMENTO,CA,95816,17,MINERAL METABOLISM,10,-,9,9
FMC-NORTH COAST KIDNEY CENTER,052708,-,"3300 VISTA WAY, SUITE A",OCEANSIDE,CA,92056,18,MINERAL METABOLISM,10,-,9,9
VACAVILLE DIALYSIS CLINIC,052709,-,941 MERCHANT ST,VACAVILLE,CA,95688,17,MINERAL METABOLISM,6,-,9,9
"LA PUENTE DIALYSIS CENTER, INC.",052710,-,14557 TEMPLE AVENUE,LA PUENTE,CA,91744,18,MINERAL METABOLISM,10,-,9,9
SOUTHGATE DIALYSIS,052711,-,7231 E SOUTHGATE DRIVE,SACRAMENTO,CA,95823,17,MINERAL METABOLISM,10,-,9,9
INTERCOMMUNITY DIALYSIS CENTER,052712,-,12455 WASHINGTON BLVD.,WHITTIER,CA,90602,18,MINERAL METABOLISM,10,-,9,9
DAVITA-UNIVERSITY PARK DIALYSIS CENTER,052713,-,3986 S. FIGUEROA STREET,LOS ANGELES,CA,90037,18,MINERAL METABOLISM,10,-,9,9
DESERT CITIES DIALYSIS,052714,-,12675 HESPERIA ROAD,VICTORVILLE,CA,92392,18,MINERAL METABOLISM,8,-,9,9
U.S. RENAL CARE LOMITA DIALYSIS,052715,-,1830 LOMITA BLVD.,LOMITA,CA,90717,18,MINERAL METABOLISM,10,-,9,9
DAVITA-SANTA ANA DIALYSIS CENTER,052716,-,1820 E. DEERE AVENUE,SANTA ANA,CA,92705,18,MINERAL METABOLISM,5,-,9,9
DAVITA-GREATER EL MONTE DIALYSIS CENTER,052717,-,"1938 TYLER AVENUE, SUITE J-168",SOUTH EL MONTE,CA,91733,18,MINERAL METABOLISM,10,-,9,9
DAVITA-NORWALK DIALYSIS CENTER,052718,-,12375 E. IMPERIAL HIGHWAY,NORWALK,CA,90650,18,MINERAL METABOLISM,10,-,9,9
SAN FRANCISCO DIALYSIS CENTER,052719,-,1499 WEBSTER STREET,SAN FRANCISCO,CA,94115,17,MINERAL METABOLISM,8,-,9,9
CITRUS DIALYSIS CENTER,052720,-,"315 N. THIRD AVENUE, SUITE 104",COVINA,CA,91723,18,MINERAL METABOLISM,9,-,9,9
RAI PERALTA,052721,-,2757 TELEGRAPH AVENUE,OAKLAND,CA,94612,17,MINERAL METABOLISM,10,-,9,9
FMC FREMONT,052722,-,39505 PASEO PADRE PARKWAY,FREMONT,CA,94538,17,MINERAL METABOLISM,9,-,9,9
MANTECA DIALYSIS CENTER,052723,-,1620 WEST YOSEMITE AVE,MANTECA,CA,95337,17,MINERAL METABOLISM,9,-,9,9
DAVITA-SFS DIALYSIS,052724,-,"10012 NORWALK BLVD., SUITE 190",SANTA FE SPRINGS,CA,90670,18,MINERAL METABOLISM,10,-,9,9
DAVITA-DOCTORS DIALYSIS CENTER OF EAST LOS ANGELES,052725,-,950 S. EASTERN AVENUE,EAST LOS ANGELES,CA,90022,18,MINERAL METABOLISM,10,-,9,9
MOHAN DIALYSIS CENTER OF COVINA,052726,-,158 W. COLLEGE STREET,COVINA,CA,91723,18,MINERAL METABOLISM,10,-,9,9
FMC-RAI-INDIANA COURT-REDLANDS,052727,-,1210 INDIANA COURT,REDLANDS,CA,92374,18,MINERAL METABOLISM,10,-,9,9
RAI OCEAN AVENUE,052728,-,1738 OCEAN AVENUE,SAN FRANCISCO,CA,94112,17,MINERAL METABOLISM,10,-,9,9
OAKLAND DIALYSIS CENTER,052729,-,5354 CLAREMONT AVENUE,OAKLAND,CA,94618,17,MINERAL METABOLISM,10,-,9,9
DAVITA-MURRIETA,052730,-,"27602 CLINTON KEITH ROAD, BLDG F",MURRIETA,CA,92562,18,MINERAL METABOLISM,10,-,9,9
FMC-BALBOA MARINA BAY,052731,-,"630 BAY BLVD., SUITE 101",CHULA VISTA,CA,91910,18,MINERAL METABOLISM,10,-,9,9
DAVITA-ANAHEIM DIALYSIS,052734,-,1341 W. LA PALMA AVENUE,ANAHEIM,CA,92801,18,MINERAL METABOLISM,10,-,9,9
DAVITA-TEMECULA DIALYSIS CENTER,052735,-,"40945 COUNTY CENTER DRIVE, SUITE G",TEMECULA,CA,92591,18,MINERAL METABOLISM,9,-,9,9
LOS BANOS DIALYSIS CENTER,052738,-,"60 G STREET, BUILDING D",LOS BANOS,CA,93635,17,MINERAL METABOLISM,8,-,9,9
DAVITA-CHINO DIALYSIS,052739,-,4445 RIVERSIDE DRIVE,CHINO,CA,91710,18,MINERAL METABOLISM,10,-,9,9
FMC-RAI-FLETCHER PARKWAY-EL CAJON,052740,-,858 FLETCHER PARKWAY,EL CAJON,CA,92020,18,MINERAL METABOLISM,10,-,9,9
RAI E. 14TH,052742,-,198 EAST 14TH ST,SAN LEANDRO,CA,94577,17,MINERAL METABOLISM,8,-,9,9
DAVITA-MOUNTAIN VISTA DIALYSIS CENTER,052743,-,4041 UNIVERSITY PARKWAY,SAN BERNARDINO,CA,92407,18,MINERAL METABOLISM,9,-,9,9
DAVITA-SOUTH VALLEY DIALYSIS,052744,-,"17815 VENTURA BLVD., SUITE 100",ENCINO,CA,91316,18,MINERAL METABOLISM,9,-,9,9
DAVITA-AIRPORT SUNRISE DIALYSIS CENTER,052746,-,11300 HAWTHORNE BLVD,INGLEWOOD,CA,90304,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE WEST COAST DIALYSIS,052747,-,"3780 KILROY AIRPORT WAY, SUITE 110",LONG BEACH,CA,90806,18,MINERAL METABOLISM,10,-,9,9
SATELLITE DIALYSIS,052751,-,8095 CAMINO ARROYO #100,GILROY,CA,95020,17,MINERAL METABOLISM,10,-,9,9
"RAI CERES AVENUE, CHICO",052752,-,3011 CERES AVENUE #125,CHICO,CA,95973,17,MINERAL METABOLISM,10,-,9,9
LODI DIALYSIS CENTER,052753,-,"1610 WEST KETTLEMAN LANE, SUITE D",LODI,CA,95242,17,MINERAL METABOLISM,9,-,9,9
FMC-EL MONTE,052755,-,11204 E. RUSH STREET,SOUTH EL MONTE,CA,91733,18,MINERAL METABOLISM,10,-,9,9
DAVITA-ENCINITAS DIALYSIS,052756,-,"332 SANTA FE DRIVE, SUITE 100",ENCINITAS,CA,92024,18,MINERAL METABOLISM,4,-,9,9
FMC DIABLO CENTRAL PITTSBURG,052757,-,2155 LOVERIDGE ROAD,PITTSBURG,CA,94565,17,MINERAL METABOLISM,10,-,9,9
FMC DIABLO WALNUT CREEK,052758,-,365 LENNON LANE #160,WALNUT CREEK,CA,94598,17,MINERAL METABOLISM,9,-,9,9
FMC DIABLO CONCORD,052759,-,508 CONTRA COSTA BLVD #D,PLEASANT HILL,CA,94523,17,MINERAL METABOLISM,10,-,9,9
FMC-SAN GABRIEL DIALYSIS CENTER,052760,-,"1801 W. VALLEY BLVD., SUITE 102",ALHAMBRA,CA,91803,18,MINERAL METABOLISM,10,-,9,9
DAVITA-PREMIER DIALYSIS CENTER,052761,-,7612 ATLANTIC AVENUE,CUDAHY,CA,90201,18,MINERAL METABOLISM,9,-,9,9
FMC-OXNARD,052762,-,"1801 HOLSER WALK, SUITE 310",OXNARD,CA,93030,18,MINERAL METABOLISM,10,-,9,9
FMC-SAN GABRIEL VALLEY PD CLINIC,052764,-,"1801 W. VALLEY BLVD., SUITE 204",ALHAMBRA,CA,91803,18,MINERAL METABOLISM,8,-,9,9
RAI FAIRWAY ROCKLIN,052765,-,6000 FAIRWAY DRIVE STE #14,ROCKLIN,CA,95677,17,MINERAL METABOLISM,10,-,9,9
DAVITA-DIAMOND VALLEY DIALYSIS CENTER,052768,-,1030 E. FLORIDA AVENUE,HEMET,CA,92543,18,MINERAL METABOLISM,7,-,9,9
SF CHINATOWN DIALYSIS CENTER,052769,-,636 CLAY STREET,SAN FRANCISCO,CA,94111,17,MINERAL METABOLISM,10,-,9,9
SELMA DIALYSIS CENTER,052770,-,2711 CINEMA WAY #111,SELMA,CA,93662,17,MINERAL METABOLISM,8,-,9,9
DAVITA-VISALIA AT HOME DIALYSIS,052771,-,1120 N. CHINOWTH STREET,VISALIA,CA,93291,18,MINERAL METABOLISM,5,-,9,9
FMC-RAI-HOSPITAL CIRCLE-WESTMINSTER,052772,-,290 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,18,MINERAL METABOLISM,10,-,9,9
DAVITA-WESTMINSTER SOUTH DIALYSIS,052773,-,14014 MAGNOLIA ST.,WESTMINSTER,CA,92683,18,MINERAL METABOLISM,10,-,9,9
DAVITA-HI-DESERT DIALYSIS,052776,-,"56845 TWENTY-NINE PALMS HIGHWAY,",YUCCA VALLEY,CA,92284,18,MINERAL METABOLISM,10,-,9,9
NRC-SANTA CLARITA KIDNEY CENTER,052778,-,"23861 W. MCBEAN PARKWAY, SUITE E-11",VALENCIA,CA,91355,18,MINERAL METABOLISM,10,-,9,9
"RAI CARE CENTERS OF SOUTHERN CALIFORNIA, LLC",052779,-,"7007 MISSION GORGE ROAD, 1ST FLOOR",SAN DIEGO,CA,92120,18,MINERAL METABOLISM,10,-,9,9
FMC-BALBOA EAST COUNTY,052780,-,570 N. SECOND STREET,EL CAJON,CA,92021,18,MINERAL METABOLISM,10,-,9,9
DAVITA-NORTH HOLLYWOOD DIALYSIS,052781,-,12126 VICTORY BLVD.,NORTH HOLLYWOOD,CA,91606,18,MINERAL METABOLISM,10,-,9,9
"MOUNTAIN VIEW DIALYSIS CENTER, INC.",052782,-,900 S. MOUNTAIN AVENUE,MONROVIA,CA,91016,18,MINERAL METABOLISM,10,-,9,9
"MODESTO KIDNEY CENTER, LLC",052783,-,"305 E. GRANGER AVE.., STE. 102",MODESTO,CA,95350,17,MINERAL METABOLISM,7,-,9,9
DELTA SIERRA DIALYSIS CENTER,052784,-,555 WEST BENJAMIN HOLT DRIVE  #200,STOCKTON,CA,95207,17,MINERAL METABOLISM,10,-,9,9
DAVITA-DOCTORS DIALYSIS CENTER OF MONTEBELLO,052785,-,1721 W. WHITTIER BLVD.,MONTEBELLO,CA,90640,18,MINERAL METABOLISM,8,-,9,9
EL CERRITO DIALYSIS CENTER,052786,-,10690 SAN PABLO AVENUE,EL CERRITO,CA,94530,17,MINERAL METABOLISM,10,-,9,9
ALAMEDA COUNTY DIALYSIS CENTER,052787,-,10700 MACARTHUR BLVD. BUILDING 7,OAKLAND,CA,94605,17,MINERAL METABOLISM,10,-,9,9
DAVITA-NEPHRON DIALYSIS,052788,-,5820 DOWNEY AVENUE,LONG BEACH,CA,90805,18,MINERAL METABOLISM,10,-,9,9
DAVITA-INDIAN WELLS VALLEY,052789,-,212 S. RICHMOND ROAD,RIDGECREST,CA,93555,18,MINERAL METABOLISM,10,-,9,9
"NRC-KIDNEY CARE CENTER OF NORTH VALLEY, INC",052790,-,16907 DEVONSHIRE STREET,GRANADA HILLS,CA,91344,18,MINERAL METABOLISM,9,-,9,9
ROSEMEAD DIALYSIS CENTER,052791,-,7403 HELLMAN AVENUE,ROSEMEAD,CA,91770,18,MINERAL METABOLISM,10,-,9,9
FMC-IMPERIAL COUNTY,052792,-,200 WAKE AVENUE,EL CENTRO,CA,92243,18,MINERAL METABOLISM,10,-,9,9
SATELLITE DIALYSIS REDWOOD CITY,052793,-,1125 INDUSTRIAL RD SUITE G,SAN CARLOS,CA,94070,17,MINERAL METABOLISM,9,-,9,9
DAVITA-USC KIDNEY CENTER,052794,-,2310 ALCAZAR STREET,LOS ANGELES,CA,90033,18,MINERAL METABOLISM,10,-,9,9
DCI MADISON DIALYSIS CLINIC,052796,-,5222 MADISON AVENUE,SACRAMENTO,CA,95841,17,MINERAL METABOLISM,10,-,9,9
FMC ARDENWOOD,052797,-,37478 CEDAR BLVD STE A,NEWARK,CA,94560,17,MINERAL METABOLISM,10,-,9,9
FMC-RAI-NEWHOPE-FOUNTAIN VALLEY,052798,-,"17197 NEWHOPE STREET, SUITE A, B, C & D",FOUNTAIN VALLEY,CA,92708,18,MINERAL METABOLISM,10,-,9,9
DAVITA-SAN DIEGO SOUTH DIALYSIS,052799,-,"995 GATEWAY CENTER WAY, SUITE 101",SAN DIEGO,CA,92102,18,MINERAL METABOLISM,10,-,9,9
DAVITA-DIALYSIS CENTER OF SANTA PAULA,052800,-,253 MARCH STREET,SANTA PAULA,CA,93060,18,MINERAL METABOLISM,9,-,9,9
DAVITA-HOLLYWOOD DIALYSIS CENTER,052801,-,5108 SUNSET BLVD.,LOS ANGELES,CA,90027,18,MINERAL METABOLISM,10,-,9,9
DAVITA-HARBOR UCLA,052802,-,21602 S. VERMONT AVENUE,TORRANCE,CA,90502,18,MINERAL METABOLISM,10,-,9,9
DAVITA-CARSON DIALYSIS,052803,-,1309 E. CARSON STREET,CARSON,CA,90745,18,MINERAL METABOLISM,10,-,9,9
DAVITA-MONTCLAIR DIALYSIS CENTER,052804,-,9142 MONTE VISTA AVE,MONTCLAIR,CA,91763,18,MINERAL METABOLISM,10,-,9,9
GRASS VALLEY DIALYSIS CENTER,052805,-,"36O CROWN POINT CIRCLE, SUITE 210",GRASS VALLEY,CA,95945,17,MINERAL METABOLISM,9,-,9,9
"KIDNEY DIALYSIS CENTER OF BALDWIN HILLS, LLC",052806,-,3705 S. LA BREA AVENUE,LOS ANGELES,CA,90016,18,MINERAL METABOLISM,8,-,9,9
DAVITA-VALLEY VIEW DIALYSIS,052807,-,26900 CACTUS AVENUE,MORENO VALLEY,CA,92555,18,MINERAL METABOLISM,9,-,9,9
DAVITA-SADDLEBACK DIALYSIS,052808,-,23141 PLAZA POINTE DRIVE,LAGUNA HILLS,CA,92653,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE WEST LOS ANGELES DIALYSIS,052809,-,1801 S. LA CIENEGA BLVD.,LOS ANGELES,CA,90035,18,MINERAL METABOLISM,10,-,9,9
BENICIA DIALYSIS CENTER,052810,-,560 FIRST STREET BLDG D103,BENICIA,CA,94510,17,MINERAL METABOLISM,7,-,9,9
DAVITA-SAN LUIS OBISPO DIALYSIS,052811,-,1043 MARSH STREET,SAN LUIS OBISPO,CA,93401,18,MINERAL METABOLISM,7,-,9,9
FMC-BLYTHE DESERT DIALYSIS,052812,-,737 W. HOBSON WAY,BLYTHE,CA,92225,18,MINERAL METABOLISM,10,-,9,9
SAN FRANCISCO GENERAL HOSPITAL RENAL CENTER,052813,052397,"1001 POTRERO BLDG. 100, ROOM 342",SAN FRANCISCO,CA,94110,17,MINERAL METABOLISM,10,-,9,9
TRACY DIALYSIS CENTER,052814,-,"425 BEVERLY PLACE, SUITE A",TRACY,CA,95376,17,MINERAL METABOLISM,10,-,9,9
RAI BANCROFT,052815,-,6955 FOOTHILL BLVD. STE 220,OAKLAND,CA,94605,17,MINERAL METABOLISM,10,-,9,9
DESERT CITIES DIALYSIS OF BARSTOW,052816,-,655 S. 7TH  STREET,BARSTOW,CA,92311,18,MINERAL METABOLISM,9,-,9,9
"FMC-RAI-CARE CENTERS OF COLTON, LLC",052817,-,"1275 W. ""C"" STREET",COLTON,CA,92324,18,MINERAL METABOLISM,10,-,9,9
UCSD DIALYSIS CENTER,052818,-,"UCSD DIALYSIS CENTER - 200 W. ARBOR DRIVE DIALYSIS PROGRAM, MAIL CODE 8781",SAN DIEGO,CA,92103,18,MINERAL METABOLISM,10,-,9,9
SATELLITE DIALYSIS SAN MATEO,052819,-,2000 SOUTH EL CAMINO REAL,SAN MATEO,CA,94403,17,MINERAL METABOLISM,10,-,9,9
FMC-RAI-W. FOOTHILL BLVD-GLENDORA,052820,-,120 W. FOOTHILL BLVD.,GLENDORA,CA,91740,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE GARDENA DIALYSIS - 190TH,052821,-,"1149 W. 190TH STREET, SUITE 1004",GARDENA,CA,90248,18,MINERAL METABOLISM,10,-,9,9
OAKLAND PERITONEAL DIALYSIS CENTER,052822,-,5352 CLAREMONT AVE,OAKLAND,CA,94618,17,MINERAL METABOLISM,4,-,9,9
FMC WOODLAND,052825,-,35 WEST MAIN STREET,WOODLAND,CA,95695,17,MINERAL METABOLISM,10,-,9,9
NORTH HIGHLANDS DIALYSIS CENTER,052826,-,4612 ROSEVILLE ROAD SUITE 100,NORTH HIGHLANDS,CA,95660,17,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE PANORAMA CITY DIALYSIS,052827,-,14600 ROSCOE BLVD.,PANORAMA CITY,CA,91402,18,MINERAL METABOLISM,10,-,9,9
DAVITA-LOS ANGELES DOWNTOWN,052828,-,2021 S. FLOWER STREET,LOS ANGELES,CA,90007,18,MINERAL METABOLISM,9,-,9,9
FMC-SANTA PAULA,052829,-,242 E. HARVARD BLVD.,SANTA PAULA,CA,93060,18,MINERAL METABOLISM,8,-,9,9
FMC-CALEXICO DESERT DIALYSIS,052830,-,351 E. BIRCH ST,CALEXICO,CA,92231,18,MINERAL METABOLISM,9,-,9,9
FMC DIABLO WEST ANTIOCH,052831,-,2386 BUCHANAN ROAD,ANTIOCH,CA,94509,17,MINERAL METABOLISM,10,-,9,9
KIDNEY INSTITUTE AT EISENHOWER MEDICAL CENTER,052832,-,"PROBST BUILDING 39000 BOB HOPE DRIVE, SUITE 103",RANCHO MIRAGE,CA,92270,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE OCEANSIDE DIALYSIS,052834,-,2227- B EL CAMINO REAL,OCEANSIDE,CA,92054,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE CHULA VISTA BROADWAY DIALYSIS,052835,-,"1181 BROADWAY, SUITE 5",CHULA VISTA,CA,91911,18,MINERAL METABOLISM,10,-,9,9
TOIYABE DIALYSIS CENTER,052836,-,44 TU SU LANE,BISHOP,CA,93514,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE WESTSIDE DIALYSIS,052837,-,300 S. ROBERTSON BLVD.,LOS ANGELES,CA,90048,18,MINERAL METABOLISM,10,-,9,9
"LOMPOC ARTIFICIAL KIDNEY CENTER, LLC",052838,-,127 W. PINE AVENUE,LOMPOC,CA,93436,18,MINERAL METABOLISM,10,-,9,9
DAVITA-NORTHEAST BAKERSFIELD DIALYSIS,052839,-,3761 MALL VIEW ROAD,BAKERSFIELD,CA,93306,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE LONG BEACH DIALYSIS,052840,-,"1045 ATLANTIC AVENUE, SUITE 108",LONG BEACH,CA,90813,18,MINERAL METABOLISM,10,-,9,9
ANTIOCH DIALYSIS CENTER,052841,-,3100 DELTA FAIR BLVD,ANTIOCH,CA,94509,17,MINERAL METABOLISM,8,-,9,9
FMC-BUENA CREEK,052842,-,950 HACIENDA DRIVE,VISTA,CA,92081,18,MINERAL METABOLISM,10,-,9,9
U.S. RENAL CARE MONTEBELLO DIALYSIS,052843,-,"433 N. 4TH. ST., SUITE 102",MONTEBELLO,CA,90640,18,MINERAL METABOLISM,10,-,9,9
DAVITA-IMPERIAL CARE DIALYSIS CENTER,052844,-,4345 E. IMPERIAL HIGHWAY,LYNWOOD,CA,90262,18,MINERAL METABOLISM,10,-,9,9
SOUTH HAYWARD DIALYSIS CENTER,052845,-,254 JACKSON STREET,HAYWARD,CA,94544,17,MINERAL METABOLISM,7,-,9,9
FMC-INGLEWOOD,052846,-,"336 E. HILLCREST AVENUE, SUITE 100",INGLEWOOD,CA,90301,18,MINERAL METABOLISM,7,-,9,9
FMC-WEST COVINA KIDNEY CENTER,052847,-,1540 W. COVINA PARKWAY,WEST COVINA,CA,91790,18,MINERAL METABOLISM,10,-,9,9
FMC-RIVERSIDE,052848,-,"3470 LA SIERRA AVENUE, SUITE E",RIVERSIDE,CA,92503,18,MINERAL METABOLISM,9,-,9,9
ORANGEVALE DIALYSIS CENTER,052850,-,9267 GREENBACK LANE #A2,ORANGEVALE,CA,95662,17,MINERAL METABOLISM,10,-,9,9
DAVITA-CRESCENT HEIGHTS DIALYSIS CENTER,052852,-,8151 BEVERLY BLVD.,LOS ANGELES,CA,90048,18,MINERAL METABOLISM,10,-,9,9
"OAKDALE KIDNEY CENTER, LLC",052853,-,1405 WEST F STREET SUITE B,OAKDALE,CA,95361,17,MINERAL METABOLISM,10,-,9,9
MOHAN DIALYSIS CENTER OF INDUSTRY,052854,-,15757 E. VALLEY BLVD.,CITY OF INDUSTRY,CA,91744,18,MINERAL METABOLISM,10,-,9,9
FMC-RANCHO CUCAMONGA,052855,-,"10532 ACACIA STREET, SUITE B2-B3",RANCHO CUCAMONGA,CA,91730,18,MINERAL METABOLISM,10,-,9,9
DAVITA-WASHINGTON PLAZA DIALYSIS CENTER,052856,-,516-522 E. WASHINGTON BLVD.,LOS ANGELES,CA,90015,18,MINERAL METABOLISM,9,-,9,9
DAVITA - GARY,152521,-,4802 BROADWAY,GARY,IN,46408,9,MINERAL METABOLISM,9,-,9,9
FLORIN DIALYSIS CENTER,052857,-,7000 STOCKTON BLVD.,SACRAMENTO,CA,95823,17,MINERAL METABOLISM,10,-,9,9
